"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee"
"1","E0",2013-08-17,"Arsenal","Aston Villa",1,3,"A",1,1,"D","A Taylor"
"2","E0",2013-08-17,"Liverpool","Stoke",1,0,"H",1,0,"H","M Atkinson"
"3","E0",2013-08-17,"Norwich","Everton",2,2,"D",0,0,"D","M Oliver"
"4","E0",2013-08-17,"Sunderland","Fulham",0,1,"A",0,0,"D","N Swarbrick"
"5","E0",2013-08-17,"Swansea","Man United",1,4,"A",0,2,"A","P Dowd"
"6","E0",2013-08-17,"West Brom","Southampton",0,1,"A",0,0,"D","K Friend"
"7","E0",2013-08-17,"West Ham","Cardiff",2,0,"H",1,0,"H","H Webb"
"8","E0",2013-08-18,"Chelsea","Hull",2,0,"H",2,0,"H","J Moss"
"9","E0",2013-08-18,"Crystal Palace","Tottenham",0,1,"A",0,0,"D","M Clattenburg"
"10","E0",2013-08-19,"Man City","Newcastle",4,0,"H",2,0,"H","A Marriner"
"11","E0",2013-08-21,"Chelsea","Aston Villa",2,1,"H",1,1,"D","K Friend"
"12","E0",2013-08-24,"Aston Villa","Liverpool",0,1,"A",0,1,"A","M Clattenburg"
"13","E0",2013-08-24,"Everton","West Brom",0,0,"D",0,0,"D","R East"
"14","E0",2013-08-24,"Fulham","Arsenal",1,3,"A",0,2,"A","H Webb"
"15","E0",2013-08-24,"Hull","Norwich",1,0,"H",1,0,"H","M Jones"
"16","E0",2013-08-24,"Newcastle","West Ham",0,0,"D",0,0,"D","P Dowd"
"17","E0",2013-08-24,"Southampton","Sunderland",1,1,"D",0,1,"A","L Mason"
"18","E0",2013-08-24,"Stoke","Crystal Palace",2,1,"H",0,1,"A","A Marriner"
"19","E0",2013-08-25,"Cardiff","Man City",3,2,"H",0,0,"D","L Probert"
"20","E0",2013-08-25,"Tottenham","Swansea",1,0,"H",0,0,"D","N Swarbrick"
"21","E0",2013-08-26,"Man United","Chelsea",0,0,"D",0,0,"D","M Atkinson"
"22","E0",2013-08-31,"Cardiff","Everton",0,0,"D",0,0,"D","A Taylor"
"23","E0",2013-08-31,"Crystal Palace","Sunderland",3,1,"H",1,0,"H","L Probert"
"24","E0",2013-08-31,"Man City","Hull",2,0,"H",0,0,"D","P Dowd"
"25","E0",2013-08-31,"Newcastle","Fulham",1,0,"H",0,0,"D","C Foy"
"26","E0",2013-08-31,"Norwich","Southampton",1,0,"H",0,0,"D","H Webb"
"27","E0",2013-08-31,"West Ham","Stoke",0,1,"A",0,0,"D","J Moss"
"28","E0",2013-09-01,"Arsenal","Tottenham",1,0,"H",1,0,"H","M Oliver"
"29","E0",2013-09-01,"Liverpool","Man United",1,0,"H",1,0,"H","A Marriner"
"30","E0",2013-09-01,"West Brom","Swansea",0,2,"A",0,1,"A","M Dean"
"31","E0",2013-09-14,"Aston Villa","Newcastle",1,2,"A",0,1,"A","M Dean"
"32","E0",2013-09-14,"Everton","Chelsea",1,0,"H",1,0,"H","H Webb"
"33","E0",2013-09-14,"Fulham","West Brom",1,1,"D",1,0,"H","L Probert"
"34","E0",2013-09-14,"Hull","Cardiff",1,1,"D",1,0,"H","R Madley"
"35","E0",2013-09-14,"Man United","Crystal Palace",2,0,"H",1,0,"H","J Moss"
"36","E0",2013-09-14,"Stoke","Man City",0,0,"D",0,0,"D","M Clattenburg"
"37","E0",2013-09-14,"Sunderland","Arsenal",1,3,"A",0,1,"A","M Atkinson"
"38","E0",2013-09-14,"Tottenham","Norwich",2,0,"H",1,0,"H","L Mason"
"39","E0",2013-09-15,"Southampton","West Ham",0,0,"D",0,0,"D","A Marriner"
"40","E0",2013-09-16,"Swansea","Liverpool",2,2,"D",1,2,"A","M Oliver"
"41","E0",2013-09-21,"Chelsea","Fulham",2,0,"H",0,0,"D","A Marriner"
"42","E0",2013-09-21,"Liverpool","Southampton",0,1,"A",0,0,"D","N Swarbrick"
"43","E0",2013-09-21,"Newcastle","Hull",2,3,"A",2,1,"H","M Atkinson"
"44","E0",2013-09-21,"Norwich","Aston Villa",0,1,"A",0,1,"A","C Foy"
"45","E0",2013-09-21,"West Brom","Sunderland",3,0,"H",1,0,"H","P Dowd"
"46","E0",2013-09-21,"West Ham","Everton",2,3,"A",1,0,"H","L Mason"
"47","E0",2013-09-22,"Arsenal","Stoke",3,1,"H",2,1,"H","M Dean"
"48","E0",2013-09-22,"Cardiff","Tottenham",0,1,"A",0,0,"D","M Clattenburg"
"49","E0",2013-09-22,"Crystal Palace","Swansea",0,2,"A",0,1,"A","K Friend"
"50","E0",2013-09-22,"Man City","Man United",4,1,"H",2,0,"H","H Webb"
"51","E0",2013-09-28,"Aston Villa","Man City",3,2,"H",0,1,"A","M Jones"
